s3ic_id,num_dep,region,department,city,name,lat,lon,last_inspection,regime,seveso,family,active,code_postal,code_insee,code_naf
0065.00251,77,ILE DE FRANCE,SEINE ET MARNE,BUTHIERS,SAMIN,657601,6796600,2021-02-04,A,NS,Carrières,En fonctionnement,77760,77060,08.12Z
0065.00254,77,ILE DE FRANCE,SEINE ET MARNE,CANNES ECLUSE,UCASSEM (ex CAMEV à Cannes),697388,6807810,2020-12-14,A,NS,Industries,En fonctionnement,77130,77061,
0065.00280,77,ILE DE FRANCE,SEINE ET MARNE,CHALAUTRE LA PETITE,IMERYS CERAMICS FRANCE,723135,6827153,2019-02-05,A,NS,Carrières,En fonctionnement,77160,77073,
0065.00287,77,ILE DE FRANCE,SEINE ET MARNE,CHALMAISON,OTICO,718523,6822669,2017-02-07,E,NS,Industries,En fonctionnement,77650,77076,22.11Z
0065.00288,77,ILE DE FRANCE,SEINE ET MARNE,CHALMAISON,LEROUX DIDIER,718931,6822317,2014-05-13,E,NS,Industries,En fonctionnement,77650,77076,
0065.00296,77,ILE DE FRANCE,SEINE ET MARNE,CHAMPAGNE SUR SEINE,IRON MONTAIN FRANCE SAS (ex Archivage Ac,684955,6810465,2020-10-08,E,NS,Industries,En fonctionnement,77430,77079,
0065.00303,77,ILE DE FRANCE,SEINE ET MARNE,CHAMPDEUIL,OURRY  ,680030,6835705,2015-04-21,E,NS,Industries,En fonctionnement,77390,77081,
0065.00306,77,ILE DE FRANCE,SEINE ET MARNE,CHAMPEAUX,BSB FRANCE,686559,6831619,2017-06-01,E,NS,Industries,En fonctionnement,77720,77082,25.72Z
0065.00322,77,ILE DE FRANCE,SEINE ET MARNE,CHAMPS SUR MARNE,CARREFOUR FRANCE,669369,6861594,2014-10-02,A,NS,Industries,En fonctionnement,77311,77083,
0065.00342,77,ILE DE FRANCE,SEINE ET MARNE,LA CHAPELLE LA REINE,SAMIN,664933,6801416,2016-12-05,A,NS,Carrières,En fonctionnement,77760,77088,08.12Z
0065.00345,77,ILE DE FRANCE,SEINE ET MARNE,LA CHAPELLE LA REINE,BEISSIER,667834,6802735,2019-03-06,E,NS,Industries,En fonctionnement,77760,77088,
0065.00348,77,ILE DE FRANCE,SEINE ET MARNE,LA CHAPELLE LA REINE,Terres Bocage Gâtinais,667770,6802520,2021-03-16,A,NS,Industries,En fonctionnement,77760,77088,
0065.00354,77,ILE DE FRANCE,SEINE ET MARNE,CHARMENTRAY,RN3 AUTOS (ex LEFEVRE AUTOS),682605,6872421,2016-11-04,E,NS,Industries,En fonctionnement,77410,77094,
0065.00377,77,ILE DE FRANCE,SEINE ET MARNE,CHATEAU LANDON,SICA GATINAISE,676731,6783868,2020-12-01,A,NS,Industries,En fonctionnement,77570,77099,
0065.00381,77,ILE DE FRANCE,SEINE ET MARNE,CHATEAU LANDON,Terres Bocage Gâtinais ex CAG,677190,6783248,2019-07-11,A,NS,Industries,En fonctionnement,77570,77099,
0065.00382,77,ILE DE FRANCE,SEINE ET MARNE,CHATEAU LANDON,Terres Bocage Gâtinais,677195,6783499,2019-07-11,A,NS,Industries,En fonctionnement,77570,77099,
0065.00384,77,ILE DE FRANCE,SEINE ET MARNE,CHATEAU LANDON,CRISTAL ET BRONZE,677384,6783394,2017-12-12,A,NS,Industries,En fonctionnement,77570,77099,
0065.00415,77,ILE DE FRANCE,SEINE ET MARNE,CHELLES,CHELLES CHALEUR,670396,6863258,2018-02-13,E,NS,Industries,En fonctionnement,77500,77108,
0065.00442,77,ILE DE FRANCE,SEINE ET MARNE,CHELLES,CENTRE COMMERCIAL CHELLES 2,671673,6864240,2016-09-07,A,NS,Industries,En fonctionnement,77508,77108,
