,id,cid,short_title,title,unique_version,installation_date_criterion_left,installation_date_criterion_right,aida_url,legifrance_url,classements_with_alineas,enriched_from_id
0,248377465205038658,JORFTEXT000000182387,Arrêté du 30 juin 1997,"Arrêté du 30/06/97 relatif aux prescriptions générales applicables aux installations classées pour la protection de l'environnement soumises à déclaration sous la rubrique n° 2551 : "" Fonderie (fabrication de produits moulés) "" de métaux et alliages ferreux",False,,,https://aida.ineris.fr/consultation_document/5703,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000182387,"[{""rubrique"": ""2551"", ""regime"": ""D"", ""alineas"": []}]",
1,933119829530583433,JORFTEXT000000190990,Arrêté du 8 décembre 1995,Arrêté du 8 décembre 1995 relatif à la lutte contre les émissions de composés organiques volatils résultant du stockage de l'essence et de sa distribution des terminaux aux stations-service,False,,,https://aida.ineris.fr/consultation_document/35821,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000190990,"[{""rubrique"": ""4734"", ""regime"": ""A"", ""alineas"": []}, {""rubrique"": ""1434"", ""regime"": ""A"", ""alineas"": [""1""]}]",
2,103920830984654397,JORFTEXT000000194255,Arrêté du 2 juin 1998,Arrêté du 02/06/98 relatif aux prescriptions générales applicables aux installations classées pour la protection de l'environnement soumises à déclaration sous la rubrique n° 2680-1 : Organismes génétiquement modifiés (Installations où sont mis en œuvre un processus de production industrielle ou commerciale des),False,,,https://aida.ineris.fr/consultation_document/5627,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000194255,"[{""rubrique"": ""2680"", ""regime"": ""D"", ""alineas"": [""1""]}]",
3,740204091387099383,JORFTEXT000000199989,Arrêté du 23 janvier 1997,Arrêté du 23 janvier 1997 relatif aux prescriptions générales applicables aux installations classées pour la protection de l'environnement soumises à déclaration sous la rubrique n° 2950 (Traitement et développement de surfaces photosensibles à base argentique),False,,,https://aida.ineris.fr/consultation_document/5735,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000199989,"[{""rubrique"": ""2950"", ""regime"": ""D"", ""alineas"": []}]",
4,305272089724210901,JORFTEXT000000202155,Arrêté du 16 juillet 1997,Arrêté du 16 juillet 1997 relatif aux installations de réfrigération employant l'ammoniac comme fluide frigorigène soumises à autorisation au titre de la rubrique n° 4735 de la nomenclature des installations classées pour la protection de l'environnement,False,,,https://aida.ineris.fr/consultation_document/5687,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000202155,"[{""rubrique"": ""4735"", ""regime"": ""A"", ""alineas"": []}]",
5,396604532510767377,JORFTEXT000000202754,Arrêté du 14 janvier 2000,"Arrêté du 14 janvier 2000 relatif aux prescriptions générales applicables aux installations classées pour la protection de l'environnement soumises à déclaration sous la rubrique n° 2662 (Stockage de polymères matières plastiques, caoutchouc, élastomères, résines et adhésifs synthétiques)",False,,,https://aida.ineris.fr/consultation_document/5519,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000202754,"[{""rubrique"": ""2662"", ""regime"": ""D"", ""alineas"": []}]",
6,789952661335886808,JORFTEXT000000202785,Arrêté du 14 janvier 2000,"Arrêté du 14 janvier 2000 relatif aux prescriptions générales applicables aux installations classées pour la protection de l'environnement soumises à déclaration sous la rubrique n° 2660 ou 2661 (Fabrication, régénération ou transformation de polymères [matières plastiques, caoutchouc, élastomères, résines et adhésifs synthétiques])",False,,,https://aida.ineris.fr/consultation_document/5521,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000202785,"[{""rubrique"": ""2660"", ""regime"": ""D"", ""alineas"": []}, {""rubrique"": ""2661"", ""regime"": ""D"", ""alineas"": []}]",
7,877646483245714457,JORFTEXT000000210657,Arrêté du 15 mars 1999,"Arrêté du 15/03/99 relatif aux prescriptions générales applicables aux installations classées pour la protection de l'environnement soumises à déclaration sous la rubrique n° 2251 (Préparation, conditionnement de vin, la capacité de production étant supérieure à 500 hl/an mais inférieure ou égale à 20 000 hl/an).",False,,,https://aida.ineris.fr/consultation_document/5571,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000210657,"[{""rubrique"": ""2251"", ""regime"": ""D"", ""alineas"": []}]",
8,996641507287550360,JORFTEXT000000215138,Arrêté du 25 juillet 2001,"Arrêté du 25 juillet 2001 relatif aux prescriptions générales applicables aux installations classées pour la protection de l'environnement soumises à déclaration sous la rubrique n° 2351 ""Teinture et pigmentation de peaux""",False,,,https://aida.ineris.fr/consultation_document/5401,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000215138,"[{""rubrique"": ""2351"", ""regime"": ""D"", ""alineas"": []}]",
9,451008291293267765,JORFTEXT000000234557,Arrêté du 20 septembre 2002,Arrêté du 20 septembre 2002 relatif aux installations d'incinération et de co-incinération de déchets non dangereux et aux installations incinérant des déchets d'activités de soins à risques infectieux ,False,,,https://aida.ineris.fr/consultation_document/5275,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000234557,"[{""rubrique"": ""2771"", ""regime"": ""A"", ""alineas"": []}]",
10,417860570228416917,JORFTEXT000000246408,Arrêté du 31 octobre 2006,Arrêté du 31 octobre 2006 fixant les règles techniques auxquelles doivent satisfaire les élevages de lapins soumis à autorisation au titre du livre V du code de l'environnement.,False,,,https://aida.ineris.fr/consultation_document/4889,https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000246408,"[{""rubrique"": ""2110"", ""regime"": ""A"", ""alineas"": []}]",
