,Unnamed: 0,s3ic_id,num_dep,region,department,city,name,lat,lon,last_inspection,regime,seveso,family,active,code_postal,code_insee,code_naf
321,508,0031.01494,64,NOUVELLE-AQUITAINE,PYRENEES ATLANTIQUES,LUCQ DE BEARN,CABANOT Edouard,403585,6250670,,A,NS,Industries,En fonctionnement,64360,64359,
329,517,0031.01584,64,NOUVELLE-AQUITAINE,PYRENEES ATLANTIQUES,LAROIN,MARGERY Colette,421234,6250237,,A,NS,Industries,En fonctionnement,64110,64315,
340,536,0031.01700,64,NOUVELLE-AQUITAINE,PYRENEES ATLANTIQUES,LESCAR,CAPBP (Déchetterie Lescar),421172,6252039,,E,NS,Industries,En fonctionnement,64230,64335,
357,593,0031.02286,33,NOUVELLE-AQUITAINE,GIRONDE,AILLAS,RAYMOND VINS FINS INTERNATIONAUX,457344,6383232,2019-07-15,E,NS,Industries,En fonctionnement,33124,33002,46.34Z
364,612,0031.02448,79,NOUVELLE-AQUITAINE,DEUX-SEVRES,CERIZAY,WESCO - WESPACK,419985,6642392,,E,NS,Industries,En fonctionnement,79140,79062,
373,621,0031.02556,33,NOUVELLE-AQUITAINE,GIRONDE,BASSENS,GPMB - H45,420976,6429595,2017-10-24,E,NS,Industries,En fonctionnement,33530,33032,
374,622,0031.02565,16,NOUVELLE-AQUITAINE,CHARENTE,JARNAC,VEYNAT 16,453110,6515179,2020-10-07,A,NS,Industries,En fonctionnement,16200,16167,
388,640,0031.02808,17,NOUVELLE-AQUITAINE,CHARENTE MARITIME,ST MARTIN D ARY,SARL BERTRAND M & JF,448939,6462168,,E,NS,Industries,En fonctionnement,17270,17365,
390,642,0031.02817,79,NOUVELLE-AQUITAINE,DEUX-SEVRES,CLUSSAIS LA POMMERAIE,CC Mellois (ISDI Clussais),469788,6569073,2018-11-26,E,NS,Industries,En fonctionnement,79190,79095,
408,665,0031.03122,33,NOUVELLE-AQUITAINE,GIRONDE,ST ANDRE DE CUBZAC,SIAEPA du Cubzadais-Fronsadais - STEP,429860,6438916,2019-12-20,A,NS,Industries,En fonctionnement,33240,33366,
