,Unnamed: 0,s3ic_id,num_dep,region,department,city,name,lat,lon,last_inspection,regime,seveso,family,active,code_postal,code_insee,code_naf
12533,14243,0061.03912,69,AUVERGNE - RHONE-ALPES,RHONE,VOURLES,ASTEN,837430,6507328,2018-11-27,A,NS,Industries,En fonctionnement,69390,69268,
12544,14256,0061.03967,69,AUVERGNE - RHONE-ALPES,RHONE,DECINES CHARPIEU,CARRIERE DE SAINT LAURENT,853001,6523937,2010-03-05,E,NS,Industries,En fonctionnement,69150,69275,08.12Z
12550,14262,0061.03976,69,AUVERGNE - RHONE-ALPES,RHONE,GENAS,EST METAL,858306,6515999,2014-01-30,A,NS,Industries,En fonctionnement,69740,69277,38.32Z
12557,14271,0061.03994,69,AUVERGNE - RHONE-ALPES,RHONE,GENAY,EXTRASYNTHESE,841108,6533741,2020-09-23,A,NS,Industries,En fonctionnement,69727,69278,21.10Z
12589,14310,0061.04092,69,AUVERGNE - RHONE-ALPES,RHONE,ST PRIEST,GAMM VERT SUD ET EST (EX LISADIS),850689,6511384,2020-12-01,E,NS,Industries,En fonctionnement,69791,69290,46.19A
12602,14323,0061.04119,69,AUVERGNE - RHONE-ALPES,RHONE,TERNAY,REYMOND RHONE SUD MATERIAUX,839770,6500795,2019-07-22,E,NS,Industries,En fonctionnement,69360,69297,
12605,14327,0061.04128,69,AUVERGNE - RHONE-ALPES,RHONE,COLOMBIER SAUGNIEU,AEROPORTS DE LYON S.A.,861720,6515347,2018-12-10,E,NS,Industries,En fonctionnement,69124,69299,52.23Z
12628,14350,0061.04326,73,AUVERGNE - RHONE-ALPES,SAVOIE,ALBERTVILLE,EDF ATELIER D'ALBERTVILLE,966708,6513030,2014-07-30,A,NS,Industries,En fonctionnement,73200,73011,35.13Z
12633,14355,0061.04344,73,AUVERGNE - RHONE-ALPES,SAVOIE,LA BATHIE,ARC FUSED ALUMINA,968981,6507876,2020-07-22,A,NS,Industries,En fonctionnement,73540,73032,23.99Z
12636,14358,0061.04353,73,AUVERGNE - RHONE-ALPES,SAVOIE,CHAMBERY,PURFER,926481,6502556,2019-05-28,A,NS,Industries,En fonctionnement,73000,73065,
12654,14379,0061.04416,73,AUVERGNE - RHONE-ALPES,SAVOIE,LA PLAGNE TARENTAISE,ASSOCIATION BOB/LUGE,986846,6498257,2019-04-02,E,NS,Industries,En fonctionnement,73210,73150,
12659,14384,0061.04434,73,AUVERGNE - RHONE-ALPES,SAVOIE,MYANS,SOTRABOIS,933501,6495331,2020-01-24,A,NS,Industries,En fonctionnement,73800,73183,16.10B
12673,14398,0061.04498,73,AUVERGNE - RHONE-ALPES,SAVOIE,TOURS EN SAVOIE,TIVOLY,968194,6511510,2016-06-17,A,NS,Industries,En fonctionnement,73790,73298,
12683,14409,0061.04533,74,AUVERGNE - RHONE-ALPES,HAUTE SAVOIE,ANNECY,DEPOT PETROLIER DE HAUTE SAVOIE,941548,6536167,2021-02-03,A,SH,Industries,En fonctionnement,74000,74010,52.10B
12687,14413,0061.04551,74,AUVERGNE - RHONE-ALPES,HAUTE SAVOIE,ARGONAY,DASSAULT AVIATION,944348,6543263,2019-07-10,A,NS,Industries,En fonctionnement,74370,74019,30.30Z
12691,14418,0061.04560,74,AUVERGNE - RHONE-ALPES,HAUTE SAVOIE,BONNEVILLE,AVENTICS,963915,6558021,2020-02-25,A,NS,Industries,En fonctionnement,74130,74042,
12699,14426,0061.04579,74,AUVERGNE - RHONE-ALPES,HAUTE SAVOIE,COMBLOUX,SOCQUET CLERC JEAN SARL,982692,6539395,2017-06-22,A,NS,Industries,En fonctionnement,74920,74083,16.10A
12721,14450,0061.04632,74,AUVERGNE - RHONE-ALPES,HAUTE SAVOIE,MARNAZ,BAMAREC PRECISION COMPONENTS EUROPE,971982,6558390,2017-03-29,E,NS,Industries,En fonctionnement,74460,74169,25.62A
12773,14505,0061.04768,74,AUVERGNE - RHONE-ALPES,HAUTE SAVOIE,VOUGY,SDV VOTTERO SARL,967598,6557870,2015-02-26,E,NS,Industries,En fonctionnement,74130,74312,
12776,14509,0061.04777,38,AUVERGNE - RHONE-ALPES,ISERE,DOMENE,FIMUREX BTP Sud (ex SDEM),921676,6459288,2018-11-29,E,NS,Industries,En fonctionnement,38420,38150,
12784,14517,0061.04795,38,AUVERGNE - RHONE-ALPES,ISERE,VEUREY VOROIZE,GUY DAUPHIN ENVIRONNEMENT (GDE),905493,6465388,2018-08-07,A,NS,Industries,En fonctionnement,38113,38540,38.32Z
12804,14538,0061.04911,42,AUVERGNE - RHONE-ALPES,LOIRE,ST ETIENNE,THUASNE (VERCORS),808027,6480398,2020-11-30,A,NS,Industries,En fonctionnement,42000,42218,13.96Z
12805,14539,0061.04920,42,AUVERGNE - RHONE-ALPES,LOIRE,VILLARS,AUCHAN (STATION SERVICE),805042,6487350,2019-05-17,E,NS,Industries,En fonctionnement,42390,42330,
12833,14573,0061.05037,42,AUVERGNE - RHONE-ALPES,LOIRE,ST CHAMOND,NEXTER SYSTEMS (EX GIAT CHAMP DE TIR ),814738,6487399,2021-02-23,A,NS,Industries,En fonctionnement,42400,42207,
12835,14575,0061.05046,42,AUVERGNE - RHONE-ALPES,LOIRE,ST ETIENNE,MELI JEAN SAS,810566,6484754,2014-08-06,A,NS,Industries,En fonctionnement,42000,42218,38.32Z
12852,14594,0061.05145,42,AUVERGNE - RHONE-ALPES,LOIRE,ST ETIENNE,CARSCITY 42 exMeliPiecesAuto/AutoP.Simon,813290,6483024,2013-04-09,E,NS,Industries,En fonctionnement,42000,42218,
12860,14605,0061.05181,42,AUVERGNE - RHONE-ALPES,LOIRE,ST ROMAIN LE PUY,SAS Jean MELI,786148,6497861,2020-08-18,A,NS,Industries,En fonctionnement,42610,42285,45.32Z
12872,14620,0061.05217,38,AUVERGNE - RHONE-ALPES,ISERE,CHARVIEU CHAVAGNEUX,PRYSMIAN ENERGIE CABLES SYSTEMES FCE,867703,6518953,2020-09-02,E,NS,Industries,En fonctionnement,38230,38085,94.20Z
12882,14630,0061.05235,69,AUVERGNE - RHONE-ALPES,RHONE,ST ROMAIN EN GAL,LA DAUPHINOISE (SAINT ROMAIN EN GAL),842223,6496274,2019-04-02,A,NS,Industries,En fonctionnement,69560,69235,46.21Z
12890,14639,0061.06955,42,AUVERGNE - RHONE-ALPES,LOIRE,GRAMMOND,SARL SCIERIE CHARPENTE JOASSARD,812583,6497339,2014-10-31,A,NS,Industries,En fonctionnement,42140,42102,43.91A
12921,14671,0061.07035,07,AUVERGNE - RHONE-ALPES,ARDECHE,BOREE,DELMONICO DOREL CARRIERES,798645,6421741,2020-07-21,A,NS,Carrières,En fonctionnement,07310,07037,08.12Z
12923,14673,0061.07044,26,AUVERGNE - RHONE-ALPES,DROME,DONZERE,SUEZ RV CENTRE EST DONZERE,838329,6370930,2021-03-08,A,NS,Industries,En fonctionnement,26290,26116,38.21Z
12937,14687,0061.07396,69,AUVERGNE - RHONE-ALPES,RHONE,LYON 07,SOCIETE DU PIPELINE MEDITERRANEE-RHONE,842237,6514818,2019-09-13,A,NS,Industries,En fonctionnement,69007,69387,
12973,14723,0061.07765,69,AUVERGNE - RHONE-ALPES,RHONE,PUSIGNAN,ARCHI MET,861393,6520379,2019-03-13,E,NS,Industries,En fonctionnement,69330,69285,25.99B
12984,14734,0061.07855,69,AUVERGNE - RHONE-ALPES,RHONE,LYON 07,GENZYME POLYCLONALS,843402,6515408,2020-11-18,A,NS,Industries,En fonctionnement,69007,69387,21.20Z
12990,14740,0061.07909,26,AUVERGNE - RHONE-ALPES,DROME,ST VALLIER,SERKOL EMBALLAGES SA,842508,6453854,2007-06-27,A,NS,Industries,En fonctionnement,26240,26333,17.21B
13009,14760,0061.08061,38,AUVERGNE - RHONE-ALPES,ISERE,ST ISMIER,COMMUNAUTE DE COMMUNES LE GRESIVAUDAN,920906,6461606,2016-07-19,A,NS,Industries,En fonctionnement,38330,38397,
13016,14767,0061.08106,73,AUVERGNE - RHONE-ALPES,SAVOIE,ST ALBAN LEYSSE,GRAND CHAMBERY (ex CHAMBERY METROPOLE),931338,6502055,2014-07-09,E,NS,Industries,En fonctionnement,73230,73222,
13019,14770,0061.08133,26,AUVERGNE - RHONE-ALPES,DROME,LA ROCHE DE GLUN,PAUL JABOULET AINE,847045,6438692,2018-05-22,E,NS,Industries,En fonctionnement,26600,26271,46.34Z
13027,14778,0061.08205,26,AUVERGNE - RHONE-ALPES,DROME,TULETTE,S C A CAVE DE COSTEBELLE,853966,6355616,2019-03-19,E,NS,Industries,En fonctionnement,26790,26357,
13054,14806,0061.08511,42,AUVERGNE - RHONE-ALPES,LOIRE,ST CHAMOND,SOUSTRE DAVID,817008,6486890,2020-01-09,E,NS,Industries,En fonctionnement,42400,42207,38.32Z
13064,14816,0061.08629,74,AUVERGNE - RHONE-ALPES,HAUTE SAVOIE,MARIN,DAUPHIBLANC ex AMB LEMAN,969721,6592672,2019-09-17,E,NS,Industries,En fonctionnement,74200,74166,96.01A
13074,14827,0061.08692,69,AUVERGNE - RHONE-ALPES,RHONE,VENISSIEUX,K SH,845440,6515287,2015-06-17,E,NS,Industries,En fonctionnement,69200,69259,45.20A
13087,14840,0061.08836,42,AUVERGNE - RHONE-ALPES,LOIRE,ST CHAMOND,LOIRE INDUSTRIE,818525,6488485,2017-10-24,E,NS,Industries,En fonctionnement,42406,42207,24.20Z
13091,14844,0061.08872,26,AUVERGNE - RHONE-ALPES,DROME,LA MOTTE FANJAS,MCPHY,878412,6441798,2015-09-08,A,NS,Industries,En fonctionnement,26190,26217,72.19Z
13095,14848,0061.08926,38,AUVERGNE - RHONE-ALPES,ISERE,ST SAVIN,SAS SOL FRANCE,878541,6505708,2019-12-11,A,SB,Industries,En fonctionnement,38300,38455,20.11Z
13099,14852,0061.08999,01,AUVERGNE - RHONE-ALPES,AIN,TREVOUX,TANORGA,836017,6540330,2020-11-03,A,NS,Industries,En fonctionnement,01600,01427,20.12Z
13112,14866,0061.09187,74,AUVERGNE - RHONE-ALPES,HAUTE SAVOIE,THONES,SYMBIOSIS,956178,6537997,2020-09-29,E,NS,Industries,En fonctionnement,74230,74280,31.09B
13133,14887,0061.09394,26,AUVERGNE - RHONE-ALPES,DROME,MONTOISON,S.A.R.L. SABLIERES VIGNAL,850860,6413137,2019-10-15,A,NS,Carrières,En fonctionnement,26800,26208,08.12Z
13138,14893,0061.09510,38,AUVERGNE - RHONE-ALPES,ISERE,ST QUENTIN FALLAVIER,CONCOURS SAS,863543,6509308,2016-02-02,E,NS,Industries,En fonctionnement,38070,38449,
13141,14896,0061.09529,74,AUVERGNE - RHONE-ALPES,HAUTE SAVOIE,CHAMONIX MONT BLANC,DEPOT EXPLO LA BALME,1005862,6553653,2018-02-20,E,NS,Industries,En fonctionnement,74400,74056,
13143,14898,0061.09574,74,AUVERGNE - RHONE-ALPES,HAUTE SAVOIE,THONON LES BAINS,TIMCO,969220,6593691,2018-10-24,A,NS,Industries,En fonctionnement,74200,74281,24.44Z
13181,14936,0061.10059,69,AUVERGNE - RHONE-ALPES,RHONE,PUSIGNAN,DIMOTRANS,860681,6518348,2016-03-09,E,NS,Industries,En fonctionnement,69330,69285,
13200,14956,0061.10239,74,AUVERGNE - RHONE-ALPES,HAUTE SAVOIE,LA BALME DE THUY,COLAS FRANCE Sud Est,952848,6537944,2015-07-30,E,NS,Industries,En fonctionnement,74230,74027,42.11Z
13209,14966,0061.10329,69,AUVERGNE - RHONE-ALPES,RHONE,MIONS,SLIR,850842,6510796,2017-02-02,A,NS,Industries,En fonctionnement,69780,69283,81.21Z
13212,14969,0061.10392,69,AUVERGNE - RHONE-ALPES,RHONE,VILLEURBANNE,KEOLIS LYON (LA SOIE),849279,6519635,2019-11-07,E,NS,Industries,En fonctionnement,69100,69266,49.31Z
13216,14974,0061.10428,38,AUVERGNE - RHONE-ALPES,ISERE,ST QUENTIN FALLAVIER,AURIUS,864989,6508088,2014-01-17,A,NS,Industries,En fonctionnement,38070,38449,
13224,14982,0061.10563,74,AUVERGNE - RHONE-ALPES,HAUTE SAVOIE,PERRIGNIER,DURR RECYCLAGE SARL,963625,6584351,2020-08-18,E,NS,Industries,En fonctionnement,74550,74210,
13232,14992,0061.10662,42,AUVERGNE - RHONE-ALPES,LOIRE,LA TALAUDIERE,SCIERIE MONTMARTIN,811942,6486637,2018-12-14,A,NS,Industries,En fonctionnement,42350,42305,16.10A
13252,15013,0061.10950,07,AUVERGNE - RHONE-ALPES,ARDECHE,ANNONAY,MP HYGIENE SAS,832730,6461460,2015-05-27,A,NS,Industries,En fonctionnement,07100,07010,
13254,15016,0061.11003,38,AUVERGNE - RHONE-ALPES,ISERE,VARCES ALLIERES ET RISSET,SEVIA,911343,6448994,2020-09-30,A,NS,Industries,En fonctionnement,38760,38524,38.12Z
13259,15021,0061.11076,01,AUVERGNE - RHONE-ALPES,AIN,PLATEAU D'HAUTEVILLE,LYAUDET SA,902022,6542679,2019-10-02,A,NS,Industries,En fonctionnement,01110,01185,16.10A
13266,15028,0061.11157,73,AUVERGNE - RHONE-ALPES,SAVOIE,CEVINS,FINA FRANCE,969336,6504905,2021-01-14,A,NS,Industries,En fonctionnement,73730,73063,
13271,15033,0061.11247,42,AUVERGNE - RHONE-ALPES,LOIRE,ST PRIEST LA PRUGNE,SEIGNOL HENRI,758525,6539825,2015-06-18,E,NS,Industries,En fonctionnement,42830,42276,
13274,15036,0061.11292,26,AUVERGNE - RHONE-ALPES,DROME,MONTELIMAR,WERIT SOCIETE,837741,6382884,2020-09-17,A,NS,Industries,En fonctionnement,26200,26198,22.22Z
13278,15040,0061.11355,73,AUVERGNE - RHONE-ALPES,SAVOIE,SAINT FRANCOIS LONGCHAMP,S.A.SAINT FRANCOIS LABELLEMONTAGNE,963537,6485000,2018-01-23,E,NS,Industries,En fonctionnement,73130,73235,
13291,15055,0061.11616,69,AUVERGNE - RHONE-ALPES,RHONE,MIONS,COLAS ex FERA 69 (CENTRALE D'ENROBAGE),850301,6509192,2019-10-16,A,NS,Industries,En fonctionnement,69780,69283,23.99Z
13295,15059,0061.11652,74,AUVERGNE - RHONE-ALPES,HAUTE SAVOIE,SAMOENS,Grand Massif Domaines Skiables,986027,6559208,2019-01-15,E,NS,Industries,En fonctionnement,74340,74258,
13301,15065,0061.11715,26,AUVERGNE - RHONE-ALPES,DROME,LE GRAND SERRE,NOVAPEX-SEQENS,863023,6465013,2020-12-16,A,SH,Industries,En fonctionnement,26530,26143,
13309,15073,0061.11850,01,AUVERGNE - RHONE-ALPES,AIN,OYONNAX,OROSOLV,900794,6576870,2021-01-26,A,NS,Industries,En fonctionnement,01100,01283,
13323,15087,0061.12002,42,AUVERGNE - RHONE-ALPES,LOIRE,FEURS,SEYFERT FOREZ,795350,6514488,2017-02-21,A,NS,Industries,En fonctionnement,42110,42094,17.21A
13330,15094,0061.12057,01,AUVERGNE - RHONE-ALPES,AIN,BELLIGNAT,MESSAGERIE OYONNAXIENNE SAS,901940,6574233,2019-11-08,E,NS,Industries,En fonctionnement,01100,01031,
13334,15098,0061.12084,38,AUVERGNE - RHONE-ALPES,ISERE,SALAISE SUR SANNE,NOVACYL,840676,6474509,2020-11-24,A,SB,Industries,En fonctionnement,38150,38468,21.10Z
13338,15102,0061.12110,73,AUVERGNE - RHONE-ALPES,SAVOIE,YENNE,RICHARD SAS,912812,6515657,2019-01-16,E,NS,Industries,En fonctionnement,73170,73330,
13342,15106,0061.12156,38,AUVERGNE - RHONE-ALPES,ISERE,LA VERPILLIERE,UFRA S.A.S.,868191,6505817,2012-01-05,E,NS,Industries,En fonctionnement,38290,38537,16.23Z
13370,15135,0061.12435,69,AUVERGNE - RHONE-ALPES,RHONE,DRACE,EIFFAGE ROUTE CENTRE EST,836083,6561596,2016-08-30,E,NS,Industries,En fonctionnement,69220,69077,42.11Z
13377,15142,0061.12570,42,AUVERGNE - RHONE-ALPES,LOIRE,ST ETIENNE,COLAS RHONE ALPES AUVERGNE,811894,6482314,2015-11-25,E,NS,Industries,En fonctionnement,42000,42218,
13393,15159,0061.12642,74,AUVERGNE - RHONE-ALPES,HAUTE SAVOIE,THYEZ,FRANCK ET PIGNARD GROUPE MAIKE AUTOMOTIV,969336,6559200,2020-11-18,E,NS,Industries,En fonctionnement,74300,74278,
13398,15164,0061.12660,07,AUVERGNE - RHONE-ALPES,ARDECHE,ST CIRGUES EN MONTAGNE,BORALEX ENERGIE VERTE SAS,785721,6409302,2015-10-02,A,NS,Industries,En fonctionnement,07510,07224,
13408,15174,0061.12688,26,AUVERGNE - RHONE-ALPES,DROME,LENS LESTANG,Parc éolien Les Terres Blanches,862846,6467092,2019-11-06,A,NS,Industries,En fonctionnement,26210,26162,
13441,15209,0061.13056,07,AUVERGNE - RHONE-ALPES,ARDECHE,ANNONAY,Déchèterie ANNONAY (ex COCOBA),832620,6462187,2016-10-13,E,NS,Industries,En fonctionnement,07100,07010,
13445,15213,0061.13092,38,AUVERGNE - RHONE-ALPES,ISERE,VOREPPE,BRET-DREVON,904783,6470371,2020-07-01,A,NS,Industries,En fonctionnement,38340,38565,38.32Z
13463,15231,0061.13209,73,AUVERGNE - RHONE-ALPES,SAVOIE,NOTRE DAME DE BELLECOMBE,ARLYSERE (ex COM COM DU VAL D'ARLY),972814,6529965,2014-07-16,E,NS,Industries,En fonctionnement,73590,73186,
13467,15235,0061.13263,69,AUVERGNE - RHONE-ALPES,RHONE,MEYS,BARONNIER - PALETTES DU LYONNAIS,808542,6508608,2019-12-16,E,NS,Industries,En fonctionnement,69610,69132,16.24Z
13479,15247,0061.13344,74,AUVERGNE - RHONE-ALPES,HAUTE SAVOIE,CHAVANOD,CARMIN,938767,6537129,2019-04-30,E,NS,Industries,En fonctionnement,74650,74067,96.01A
13480,15248,0061.13353,73,AUVERGNE - RHONE-ALPES,SAVOIE,ST JEAN DE MAURIENNE,RIO TINTO ALUMINIUM PECHINEY,964429,6469032,2020-06-04,A,SB,Industries,En fonctionnement,73303,73248,
13499,15268,0061.13533,42,AUVERGNE - RHONE-ALPES,LOIRE,LE CHAMBON FEUGEROLLES,FIRMINY DISTRIBUTION,801841,6477372,2015-12-28,E,NS,Industries,En fonctionnement,42500,42044,
13504,15273,0061.13551,42,AUVERGNE - RHONE-ALPES,LOIRE,BELLEGARDE EN FOREZ,SAS METHASERMAGES,800996,6506249,2019-12-03,E,NS,Industries,En fonctionnement,42210,42013,
13507,15276,0061.13560,73,AUVERGNE - RHONE-ALPES,SAVOIE,LA MOTTE SERVOLEX,GRANULATS VICAT,924874,6505180,2020-07-08,E,NS,Industries,En fonctionnement,73290,73179,
13514,15283,0061.13588,01,AUVERGNE - RHONE-ALPES,AIN,ST VULBAS,SAS Vandemoortele Bakery Products France,877394,6529772,2018-12-06,A,NS,Industries,En fonctionnement,01150,01390,10.71A
13536,15310,0061.13830,74,AUVERGNE - RHONE-ALPES,HAUTE SAVOIE,FILLIERE,PORCHERIE LA COTE,948988,6552843,2016-05-18,E,NS,Industries,En fonctionnement,74570,74282,
13538,15312,0061.13876,73,AUVERGNE - RHONE-ALPES,SAVOIE,LES BELLEVILLE,COMMUNAUTE DE COM COEUR DE TARENTAISE,975508,6490765,2020-03-12,E,NS,Industries,En fonctionnement,73440,73257,
13554,15330,0061.14019,69,AUVERGNE - RHONE-ALPES,RHONE,CORBAS,CENTRE DE DEMINAGE (CORBAS),848527,6510442,2020-10-29,E,NS,Industries,En fonctionnement,69960,69273,
13557,15333,0061.14055,38,AUVERGNE - RHONE-ALPES,ISERE,ST QUENTIN FALLAVIER,SCI MAINE SAINT-QUENTIN,865089,6507200,2020-12-09,E,NS,Industries,En fonctionnement,38070,38449,
13562,15338,0061.14145,38,AUVERGNE - RHONE-ALPES,ISERE,ST QUENTIN FALLAVIER,ELYGESTION,865289,6506959,2014-09-17,A,NS,Industries,En fonctionnement,38070,38449,68.32A
13563,15339,0061.14154,69,AUVERGNE - RHONE-ALPES,RHONE,ST PRIEST,LOGAGRO ex AGIDRA,853107,6511048,2019-12-13,E,NS,Industries,En fonctionnement,69800,69290,46.38B
13565,15341,0061.14163,69,AUVERGNE - RHONE-ALPES,RHONE,BELLEVILLE-EN-BEAUJOLAIS,ELF 2 LYON ex BARJANE,832935,6556560,2021-01-20,A,SB,Industries,En fonctionnement,69220,69019,68.10Z
13575,15351,0061.14226,38,AUVERGNE - RHONE-ALPES,ISERE,VILLEFONTAINE,SYNDICAT MIXTE NORD DAUPHINE,868095,6504643,2016-09-15,E,NS,Industries,En fonctionnement,38090,38553,
13585,15362,0061.14307,38,AUVERGNE - RHONE-ALPES,ISERE,ECHIROLLES,GRENOBLE ALPES METROPOLE,914512,6452927,,E,NS,Industries,En fonctionnement,38130,38151,
13593,15370,0061.14361,69,AUVERGNE - RHONE-ALPES,RHONE,ST PRIEST,EC MAYET,849127,6512341,2020-09-25,A,SB,Industries,En fonctionnement,69800,69290,25.61Z
13598,15375,0061.14370,74,AUVERGNE - RHONE-ALPES,HAUTE SAVOIE,BONNEVILLE,COLAS RHONE ALPES AUVERGNE (FOURMIS),963936,6557831,2018-07-12,E,NS,Industries,En fonctionnement,74130,74042,42.11Z
13603,15381,0061.14398,01,AUVERGNE - RHONE-ALPES,AIN,CROZET,FAMY SAS,932792,6578150,2016-06-20,E,NS,Industries,En fonctionnement,01170,01135,
13605,15383,0061.14406,01,AUVERGNE - RHONE-ALPES,AIN,SAMOGNAT,FAMY SAS,900257,6576109,2017-05-22,E,NS,Industries,En fonctionnement,01580,01392,
13608,15386,0061.14460,38,AUVERGNE - RHONE-ALPES,ISERE,SALAISE SUR SANNE,ECOAT OPERATIONS,842291,6473297,2021-01-15,A,NS,Industries,En fonctionnement,38150,38468,72.19Z
13616,15395,0061.14505,38,AUVERGNE - RHONE-ALPES,ISERE,LA TERRASSE,RAVIX ENVIRONNEMENT,928681,6473998,,E,NS,Industries,En fonctionnement,38660,38503,
13619,15398,0061.14514,38,AUVERGNE - RHONE-ALPES,ISERE,GRENAY,REVAL'GREEN,860239,6508222,,A,NS,Industries,En fonctionnement,38540,38184,38.32Z
13627,15406,0061.14532,38,AUVERGNE - RHONE-ALPES,ISERE,LES ABRETS EN DAUPHINE,SOCIETE GIRARD ET RIVOIRE,902706,6497220,2017-02-22,E,NS,Industries,En fonctionnement,38490,38001,43.12A
13632,15411,0061.14587,74,AUVERGNE - RHONE-ALPES,HAUTE SAVOIE,ANNECY,NTN SNR Cran Gevrier,939497,6538356,2020-10-06,E,NS,Industries,En fonctionnement,74960,74010,28.15Z
13654,15435,0061.14668,38,AUVERGNE - RHONE-ALPES,ISERE,ST EGREVE,GRENOBLE ALPES METROPOLE,910087,6461892,2017-12-21,E,NS,Industries,En fonctionnement,38120,38382,
13658,15439,0061.14703,01,AUVERGNE - RHONE-ALPES,AIN,ARANC,ETS REYDELLET S.A,895244,6548059,2015-04-14,A,NS,Industries,En fonctionnement,01110,01012,
13679,15463,0061.14866,73,AUVERGNE - RHONE-ALPES,SAVOIE,ENTRELACS,BRAISSAND SARL (ISD)I,928980,6525643,2021-01-26,E,NS,Industries,En fonctionnement,73410,73010,43.99C
13680,15464,0061.14875,73,AUVERGNE - RHONE-ALPES,SAVOIE,DETRIER,COMMUNE DE LA ROCHETTE,942834,6488067,2020-08-05,E,NS,Industries,En fonctionnement,73110,73099,84.11Z
13700,15486,0061.14965,69,AUVERGNE - RHONE-ALPES,RHONE,CALUIRE ET CUIRE,AUCHAN CARBURANT,844385,6524509,2020-09-03,E,NS,Industries,En fonctionnement,69300,69034,47.30Z
13707,15493,0061.15036,42,AUVERGNE - RHONE-ALPES,LOIRE,ST DENIS SUR COISE,SAS METHAMOLY,810860,6502967,2019-06-13,A,NS,Industries,En fonctionnement,42140,42216,
13710,15496,0061.15045,38,AUVERGNE - RHONE-ALPES,ISERE,ST QUENTIN FALLAVIER,SYNDICAT MIXTE NORD DAUPHINE Déchetterie,864967,6506569,2016-12-21,E,NS,Industries,En fonctionnement,38070,38449,
13728,15517,0062.00004,54,GRAND EST,MEURTHE ET MOSELLE,VANNES LE CHATEL,DAUM,906402,6830873,2021-01-11,A,NS,Industries,En fonctionnement,54112,54548,23.13Z
13732,15522,0062.00031,54,GRAND EST,MEURTHE ET MOSELLE,BACCARAT,MANUFACTURE DE BACCARAT,976850,6823008,2020-08-14,A,NS,Industries,En fonctionnement,54120,54039,
13734,15524,0062.00040,54,GRAND EST,MEURTHE ET MOSELLE,BELLEVILLE,UCA SILO DE FROUARD (Belleville),928844,6861418,2019-05-13,A,NS,Industries,En fonctionnement,54940,54060,01.61Z
13741,15533,0062.00095,54,GRAND EST,MEURTHE ET MOSELLE,CHAMPIGNEULLES,REXEL France,933186,6853947,2018-02-08,A,NS,Industries,En fonctionnement,54250,54115,
13746,15540,0062.00130,54,GRAND EST,MEURTHE ET MOSELLE,VELLE SUR MOSELLE,GSM,942031,6829634,2020-09-02,E,NS,Carrières,En fonctionnement,54290,54559,
13753,15548,0062.00158,54,GRAND EST,MEURTHE ET MOSELLE,DOMBASLE SUR MEURTHE,SOLVAY OPERATIONS FRANCE,946169,6841632,2020-12-15,A,NS,Carrières,En fonctionnement,54110,54159,23.99Z
13756,15552,0062.00176,54,GRAND EST,MEURTHE ET MOSELLE,EINVILLE AU JARD,ALIANE ( Ex SANDERS GRAND EST),955992,6844604,2012-03-14,A,NS,Industries,En fonctionnement,54370,54176,
13757,15553,0062.00194,54,GRAND EST,MEURTHE ET MOSELLE,FLEVILLE DEVANT NANCY,TRANSPORTS MICHEL,936228,6841464,2021-01-27,A,NS,Industries,En fonctionnement,54710,54197,49.41A
13760,15557,0062.00202,54,GRAND EST,MEURTHE ET MOSELLE,FROUARD,NANCYPORT,931411,6854826,2015-12-11,A,NS,Industries,En fonctionnement,54390,54215,52.24B
13773,15572,0062.00301,54,GRAND EST,MEURTHE ET MOSELLE,LANEUVEVILLE DEVANT NANCY,EPROLOR ,939825,6842847,2015-04-13,A,NS,Industries,En fonctionnement,54410,54300,
13778,15578,0062.00338,54,GRAND EST,MEURTHE ET MOSELLE,LONGUYON,DEMANET DANIEL,889890,6929284,2018-05-15,E,NS,Industries,En fonctionnement,54260,54322,38.32Z
13783,15583,0062.00365,54,GRAND EST,MEURTHE ET MOSELLE,LUDRES,SEVEAL,935195,6839132,2020-12-01,A,SH,Industries,En fonctionnement,54710,54328,46.75Z
13806,15611,0062.00536,54,GRAND EST,MEURTHE ET MOSELLE,PONT A MOUSSON,COOPERATIVE AGRICOLE LORRAINE (CAL),922775,6872942,2019-06-13,A,NS,Industries,En fonctionnement,54700,54431,
13810,15615,0062.00554,54,GRAND EST,MEURTHE ET MOSELLE,REHON,ETIP,899683,6936862,,A,NS,Industries,En fonctionnement,54430,54451,
13814,15621,0062.00608,54,GRAND EST,MEURTHE ET MOSELLE,TOUL,ICD TOUL DEMOLITION,915039,6848415,2020-09-23,E,NS,Industries,En fonctionnement,54200,54528,
13816,15624,0062.00617,54,GRAND EST,MEURTHE ET MOSELLE,TOUL,BLG (ex ACTIS),915806,6848361,2019-02-12,A,NS,Industries,En fonctionnement,54200,54528,
13828,15639,0062.00725,54,GRAND EST,MEURTHE ET MOSELLE,XEUILLEY,VICAT (usine de Xeuilley),929102,6834024,2021-01-21,A,NS,Industries,En fonctionnement,54990,54596,
13852,15664,0062.00824,55,GRAND EST,MEUSE,JAMETZ,COLAS EST,873190,6929287,2019-11-14,A,NS,Carrières,En fonctionnement,55600,55255,42.11Z
13855,15668,0062.00833,55,GRAND EST,MEUSE,LIGNY EN BARROIS,EVOBUS FRANCE ,871402,6844372,2019-11-19,E,NS,Industries,En fonctionnement,55500,55291,29.10Z
